id,rowid,authors,title,journal,year,abstract,type,trait,measure,exp.methods,species,latin,taxa,Order,Family,strain,parasite.taxa,life.history.measured,setting,subset,Infection.type,migratory.leg2,ss,ss_infected,ss_healthy,slope,effect,stat,presented.p,adj.p,sig0.05,infection.measure,z,var.z,g,var.g,var.g1,function.,Effect.direction
99,153,"Altizer, SM; Hobson, KA; Davis, AK; De Roode, JC, Wassenaar, LI",Do Healthy Monarchs Migrate Farther? Tracking Natal Origins of Parasitized vs. Uninfected Monarch Butterflies Overwintering in Mexico,PLOS ONE,2015,"Long-distance migration can lower parasite prevalence if strenuous journeys remove infected animals from wild populations. We examined wild monarch butterflies (Danaus plexippus) to investigate the potential costs of the protozoan Ophryocystis elektroscirrha on migratory success. We collected monarchs from two wintering sites in central Mexico to compare infection status with hydrogen isotope (?2H) measurements as an indicator of latitude of origin at the start of fall migration. On average, uninfected monarchs had lower ?2H values than parasitized butterflies, indicating that uninfected butterflies originated from more northerly latitudes and travelled farther distances to reach Mexico. Within the infected class, monarchs with higher quantitative spore loads originated from more southerly latitudes, indicating that heavily infected monarchs originating from farther north are less likely to reach Mexico. We ruled out the alternative explanation that lower latitudes give rise to more infected monarchs prior to the onset of migration using citizen science data to examine regional differences in parasite prevalence during the summer breeding season. We also found a positive association between monarch wing area and estimated distance flown. Collectively, these results emphasize that seasonal migrations can help lower infection levels in wild animal populations. Our findings, combined with recent declines in the numbers of migratory monarchs wintering in Mexico and observations of sedentary (winter breeding) monarch populations in the southern U.S., suggest that shifts from migratory to sedentary behavior will likely lead to greater infection prevalence for North American monarchs.",O,Movement,Distance travelled,na,Monarch butterly,Danaus plexippus,Insect,Lepidoptera,Nymphalidae,Ophryocystis elektroscirrha,Protozoa,Non-breeding,Field,all,Single,Y,175,100,75,Not presented,12.78,Wald X2,<0.0001,1.00E-04,1,Infection status,-0.28,0.01,-0.56,0.02,0.02,"pes(0.0001,100,75) or chies(12.78,175)",Negative
75,119,"Altizer, SM; Oberhauser, KS",Effects of the protozoan parasite Ophryocystis elektroscirrha on the fitness of monarch butterflies (Danaus plexippus),JOURNAL OF INVERTEBRATE PATHOLOGY,1999,"We evaluated the effects of the protozoan parasite Ophryocystis elektroscirrha on the survival and reproduction of monarch butterflies. Because larvae in natural populations are likely to experience a wide range of natural parasite population densities, we examined the effects of increasing spore density (0, 10, 100, or 1000 spores per larva) on host fitness. Parasites had little effect on monarch survival or reproduction, except at the highest dose, Monarchs inoculated with 1000 spores per larva had decreased survival to eclosion, and this effect was more severe when larvae were inoculated at an earlier stage (first versus third instar). Monarchs inoculated with higher spore densities also emerged with smaller wingspans and lower body mass than noninoculated adults, Infection with the highest dose of O. elektroscirrha led to decreased male lifespan and reproductive success, but females infected with 0. elektroscirrha did not experience a significant decline in lifetime fecundity. However heavily infected females in outdoor enclosures were less active than uninfected females and gained weight during their adult lifespan. Among samples of adult monarchs captured in natural populations, parasite loads were associated with butterfly condition and activity. Heavily infected adults captured breeding in western North America and southern Florida were smaller than uninfected monarchs, Among overwintering adults in Mexico and California, mating activity was positively associated with higher parasite loads. In addition, the proportion of adults with low and intermediate spore loads (as opposed to no spares) was higher among adults with greater wing tatter and scale loss. Our findings of minor effects of 0. elektroscirrha on the survival and reproduction of monarch butterflies are consistent with the expectation that maternally transmitted parasites should have little or no effect on host fitness compared with horizontally transmitted parasites, However, because our laboratory studies demonstrated that monarchs exposed to the highest parasite density experienced decreased larval survival, smaller adult size, and shorter adult lifespans, additional transmission routes are likely to be important for parasite maintenance in natural populations. ",E,Survival,Lifespan,Parasite addition,Monarch butterfly,Danaus plexippus,Insect,Lepidoptera,Nymphalidae,Ophryocystis elektroscirrha,Protozoa,Lab,Lab,Males,Single,N,98,na,na,Not presented,7.15,F,<0.001,0.001,1,Intensity,-0.34,0.01,-0.68,0.04,0.04,"pes(0.001,49,49)",Negative
75,120,"Altizer, SM; Oberhauser, KS",Effects of the protozoan parasite Ophryocystis elektroscirrha on the fitness of monarch butterflies (Danaus plexippus),JOURNAL OF INVERTEBRATE PATHOLOGY,1999,"We evaluated the effects of the protozoan parasite Ophryocystis elektroscirrha on the survival and reproduction of monarch butterflies. Because larvae in natural populations are likely to experience a wide range of natural parasite population densities, we examined the effects of increasing spore density (0, 10, 100, or 1000 spores per larva) on host fitness. Parasites had little effect on monarch survival or reproduction, except at the highest dose, Monarchs inoculated with 1000 spores per larva had decreased survival to eclosion, and this effect was more severe when larvae were inoculated at an earlier stage (first versus third instar). Monarchs inoculated with higher spore densities also emerged with smaller wingspans and lower body mass than noninoculated adults, Infection with the highest dose of O. elektroscirrha led to decreased male lifespan and reproductive success, but females infected with 0. elektroscirrha did not experience a significant decline in lifetime fecundity. However heavily infected females in outdoor enclosures were less active than uninfected females and gained weight during their adult lifespan. Among samples of adult monarchs captured in natural populations, parasite loads were associated with butterfly condition and activity. Heavily infected adults captured breeding in western North America and southern Florida were smaller than uninfected monarchs, Among overwintering adults in Mexico and California, mating activity was positively associated with higher parasite loads. In addition, the proportion of adults with low and intermediate spore loads (as opposed to no spares) was higher among adults with greater wing tatter and scale loss. Our findings of minor effects of 0. elektroscirrha on the survival and reproduction of monarch butterflies are consistent with the expectation that maternally transmitted parasites should have little or no effect on host fitness compared with horizontally transmitted parasites, However, because our laboratory studies demonstrated that monarchs exposed to the highest parasite density experienced decreased larval survival, smaller adult size, and shorter adult lifespans, additional transmission routes are likely to be important for parasite maintenance in natural populations. ",E,Survival,Lifespan,Parasite addition,Monarch butterfly,Danaus plexippus,Insect,Lepidoptera,Nymphalidae,Ophryocystis elektroscirrha,Protozoa,Lab,Lab,Females,Single,N,100,na,na,Not presented,1.44,F,0.23,0.23,0,Intensity,-0.12,0.01,-0.24,0.04,0.04,"pes(0.23,50,50)",Negative
75,121,"Altizer, SM; Oberhauser, KS",Effects of the protozoan parasite Ophryocystis elektroscirrha on the fitness of monarch butterflies (Danaus plexippus),JOURNAL OF INVERTEBRATE PATHOLOGY,1999,"We evaluated the effects of the protozoan parasite Ophryocystis elektroscirrha on the survival and reproduction of monarch butterflies. Because larvae in natural populations are likely to experience a wide range of natural parasite population densities, we examined the effects of increasing spore density (0, 10, 100, or 1000 spores per larva) on host fitness. Parasites had little effect on monarch survival or reproduction, except at the highest dose, Monarchs inoculated with 1000 spores per larva had decreased survival to eclosion, and this effect was more severe when larvae were inoculated at an earlier stage (first versus third instar). Monarchs inoculated with higher spore densities also emerged with smaller wingspans and lower body mass than noninoculated adults, Infection with the highest dose of O. elektroscirrha led to decreased male lifespan and reproductive success, but females infected with 0. elektroscirrha did not experience a significant decline in lifetime fecundity. However heavily infected females in outdoor enclosures were less active than uninfected females and gained weight during their adult lifespan. Among samples of adult monarchs captured in natural populations, parasite loads were associated with butterfly condition and activity. Heavily infected adults captured breeding in western North America and southern Florida were smaller than uninfected monarchs, Among overwintering adults in Mexico and California, mating activity was positively associated with higher parasite loads. In addition, the proportion of adults with low and intermediate spore loads (as opposed to no spares) was higher among adults with greater wing tatter and scale loss. Our findings of minor effects of 0. elektroscirrha on the survival and reproduction of monarch butterflies are consistent with the expectation that maternally transmitted parasites should have little or no effect on host fitness compared with horizontally transmitted parasites, However, because our laboratory studies demonstrated that monarchs exposed to the highest parasite density experienced decreased larval survival, smaller adult size, and shorter adult lifespans, additional transmission routes are likely to be important for parasite maintenance in natural populations. ",E,Condition,Body mass change,Parasite addition,Monarch butterfly,Danaus plexippus,Insect,Lepidoptera,Nymphalidae,Ophryocystis elektroscirrha,Protozoa,Lab,Lab,Males,Single,N,98,na,na,Not presented,0.21,F,0.89,0.89,0,Intensity,0.01,0.01,0.03,0.04,0.04,"pes(0.89,49,49)",None
75,122,"Altizer, SM; Oberhauser, KS",Effects of the protozoan parasite Ophryocystis elektroscirrha on the fitness of monarch butterflies (Danaus plexippus),JOURNAL OF INVERTEBRATE PATHOLOGY,1999,"We evaluated the effects of the protozoan parasite Ophryocystis elektroscirrha on the survival and reproduction of monarch butterflies. Because larvae in natural populations are likely to experience a wide range of natural parasite population densities, we examined the effects of increasing spore density (0, 10, 100, or 1000 spores per larva) on host fitness. Parasites had little effect on monarch survival or reproduction, except at the highest dose, Monarchs inoculated with 1000 spores per larva had decreased survival to eclosion, and this effect was more severe when larvae were inoculated at an earlier stage (first versus third instar). Monarchs inoculated with higher spore densities also emerged with smaller wingspans and lower body mass than noninoculated adults, Infection with the highest dose of O. elektroscirrha led to decreased male lifespan and reproductive success, but females infected with 0. elektroscirrha did not experience a significant decline in lifetime fecundity. However heavily infected females in outdoor enclosures were less active than uninfected females and gained weight during their adult lifespan. Among samples of adult monarchs captured in natural populations, parasite loads were associated with butterfly condition and activity. Heavily infected adults captured breeding in western North America and southern Florida were smaller than uninfected monarchs, Among overwintering adults in Mexico and California, mating activity was positively associated with higher parasite loads. In addition, the proportion of adults with low and intermediate spore loads (as opposed to no spares) was higher among adults with greater wing tatter and scale loss. Our findings of minor effects of 0. elektroscirrha on the survival and reproduction of monarch butterflies are consistent with the expectation that maternally transmitted parasites should have little or no effect on host fitness compared with horizontally transmitted parasites, However, because our laboratory studies demonstrated that monarchs exposed to the highest parasite density experienced decreased larval survival, smaller adult size, and shorter adult lifespans, additional transmission routes are likely to be important for parasite maintenance in natural populations. ",E,Condition,Body mass change,Parasite addition,Monarch butterfly,Danaus plexippus,Insect,Lepidoptera,Nymphalidae,Ophryocystis elektroscirrha,Protozoa,Lab,Lab,Females,Single,N,100,na,na,Not presented,-3.1,F,0.03,0.03,1,Intensity,0.22,0.01,0.44,0.04,0.04,"pes(0.03,50,50)",Positive
39,49,"Arizaga, J; Barba, E; Hernandez, MA",DO HAEMOSPORIDIANS AFFECT FUEL DEPOSITION RATE AND FUEL LOAD IN MIGRATORY BLACKCAPS SYLVIA ATRICAPILLA?,ARDEOLA,2009,"Do haemosporidians affect fuel deposition rate and fuel load in migratory blackcaps, Sylvia atricapilla? Aims: Fuel deposition rate is one of the main parameters determining bird migration strategies. Accordingly, factors compromising fuel deposition rate, Such as parasite infections, might have relevant effects not only on migration, but also on other life history events that depend on migration Success, Such as breeding. We analysed the effect of haemosporidians on fuel load and fuel deposition rate in a population of migratory blackcaps (Sylvia atricapilla) during stopover in northern Iberia. Locality: Loza lagoon, northern Iberia (42 degrees 50' N, 01 degrees 43' W, 400 m a.s.l.). Methods: From blood samples of recaptured blackcaps we determined haemospiridian content by amplification of 479 bp of the parasite's cytochrome b gene. Independent on body size, of the sampled birds, 35% were infected by Haemoproteus-Plasmodium. Results: Mass deposition rate, fat score and body mass showed similar values in non-infected as in infected blackcaps. No differences in age or body size proportions were detected between infected and non-infected birds. Conclusions: These results may be explained by infected birds with high virulence (compromising fuel accumulation) being unable to migrate south from their breeding areas in central and northern Europe. In contrast, more resistant birds may be able to tolerate the parasitaemia and gain fuel normally. Another possibility is that only birds with a low intensity of parasite infection were captured (presumably birds able to overcome the parasitaemia successfully), since these birds may be able to accumulate fuel at a similar rate to non-infected birds. Furthermore, highly infected birds may have a lower likelihood of capture than non-infected birds, because birds lose mobility with a high intensity of infection and under these circumstances they are less likely to be captured.",O,Refuelling,Mass change,na,Blackcap,Sylvia atricapilla,Bird,Passeriformes,Sylviidae,Haemoparasites,Protozoa,Migration,Field,all,Single,Y,53,18,35,Not presented,0.1,t,0.9,0.9,0,Infection status,0.02,0.02,0.04,0.08,0.08,"pes(0.9,18,35)",Positive
39,50,"Arizaga, J; Barba, E; Hernandez, MA",DO HAEMOSPORIDIANS AFFECT FUEL DEPOSITION RATE AND FUEL LOAD IN MIGRATORY BLACKCAPS SYLVIA ATRICAPILLA?,ARDEOLA,2009,"Do haemosporidians affect fuel deposition rate and fuel load in migratory blackcaps, Sylvia atricapilla? Aims: Fuel deposition rate is one of the main parameters determining bird migration strategies. Accordingly, factors compromising fuel deposition rate, Such as parasite infections, might have relevant effects not only on migration, but also on other life history events that depend on migration Success, Such as breeding. We analysed the effect of haemosporidians on fuel load and fuel deposition rate in a population of migratory blackcaps (Sylvia atricapilla) during stopover in northern Iberia. Locality: Loza lagoon, northern Iberia (42 degrees 50' N, 01 degrees 43' W, 400 m a.s.l.). Methods: From blood samples of recaptured blackcaps we determined haemospiridian content by amplification of 479 bp of the parasite's cytochrome b gene. Independent on body size, of the sampled birds, 35% were infected by Haemoproteus-Plasmodium. Results: Mass deposition rate, fat score and body mass showed similar values in non-infected as in infected blackcaps. No differences in age or body size proportions were detected between infected and non-infected birds. Conclusions: These results may be explained by infected birds with high virulence (compromising fuel accumulation) being unable to migrate south from their breeding areas in central and northern Europe. In contrast, more resistant birds may be able to tolerate the parasitaemia and gain fuel normally. Another possibility is that only birds with a low intensity of parasite infection were captured (presumably birds able to overcome the parasitaemia successfully), since these birds may be able to accumulate fuel at a similar rate to non-infected birds. Furthermore, highly infected birds may have a lower likelihood of capture than non-infected birds, because birds lose mobility with a high intensity of infection and under these circumstances they are less likely to be captured.",O,Condition,Fat score,na,Blackcap,Sylvia atricapilla,Bird,Passeriformes,Sylviidae,Haemoparasites,Protozoa,Migration,Field,all,Single,Y,53,18,35,Not presented,0.99,t,0.33,0.33,0,Infection status,-0.13,0.02,-0.28,0.08,0.08,"pes(0.33,18,35)",Negative
39,51,"Arizaga, J; Barba, E; Hernandez, MA",DO HAEMOSPORIDIANS AFFECT FUEL DEPOSITION RATE AND FUEL LOAD IN MIGRATORY BLACKCAPS SYLVIA ATRICAPILLA?,ARDEOLA,2009,"Do haemosporidians affect fuel deposition rate and fuel load in migratory blackcaps, Sylvia atricapilla? Aims: Fuel deposition rate is one of the main parameters determining bird migration strategies. Accordingly, factors compromising fuel deposition rate, Such as parasite infections, might have relevant effects not only on migration, but also on other life history events that depend on migration Success, Such as breeding. We analysed the effect of haemosporidians on fuel load and fuel deposition rate in a population of migratory blackcaps (Sylvia atricapilla) during stopover in northern Iberia. Locality: Loza lagoon, northern Iberia (42 degrees 50' N, 01 degrees 43' W, 400 m a.s.l.). Methods: From blood samples of recaptured blackcaps we determined haemospiridian content by amplification of 479 bp of the parasite's cytochrome b gene. Independent on body size, of the sampled birds, 35% were infected by Haemoproteus-Plasmodium. Results: Mass deposition rate, fat score and body mass showed similar values in non-infected as in infected blackcaps. No differences in age or body size proportions were detected between infected and non-infected birds. Conclusions: These results may be explained by infected birds with high virulence (compromising fuel accumulation) being unable to migrate south from their breeding areas in central and northern Europe. In contrast, more resistant birds may be able to tolerate the parasitaemia and gain fuel normally. Another possibility is that only birds with a low intensity of parasite infection were captured (presumably birds able to overcome the parasitaemia successfully), since these birds may be able to accumulate fuel at a similar rate to non-infected birds. Furthermore, highly infected birds may have a lower likelihood of capture than non-infected birds, because birds lose mobility with a high intensity of infection and under these circumstances they are less likely to be captured.",O,Condition,Body mass,na,Blackcap,Sylvia atricapilla,Bird,Passeriformes,Sylviidae,Haemoparasites,Protozoa,Migration,Field,all,Single,Y,53,18,35,Not presented,0.01,F,0.93,0.93,0,Infection status,-0.01,0.02,-0.03,0.08,0.08,"pes(0.93,18,35)",Negative
1,2,"Asghar, M; Hasselquist, D; Bensch, S",Are chronic avian haemosporidian infections costly in wild birds?,JOURNAL OF AVIAN BIOLOGY,2011,"One group of commonly found parasites in birds, for which fitness consequences and effects on life history traits have been much debated are Haemosporidian blood parasites. In a long term study population of great reed warblers Acrocephalus arundinaceus in Sweden, previous studies have shown that the Haemosporidian blood parasites are in their chronic phase during the breeding season and that the fitness of infected and non-infected birds are similar. In the present study, we quantified parasite intensity (parasitemia) in 718 adults great reed warblers sampled between 1987 and 1998 for the three most common parasite species; Haemoproteus payevskyi (lineage GRW1), Plasmodium ashfordi (GRW2) and Plasmodium relictum (GRW4). We verified that the q-PCR method is accurately quantifying Haemoproteus payevskyi (GRW1) as it was highly correlated with the number of parasites seen under microscope. Frequency of mixed infections with two lineages was significantly higher than expected based on the prevalence of each of the three parasite lineages. The mean level of parasitemia was significantly different for the three lineages and individual birds had repeatable parasitemia levels between years. Females tended to have a higher parasitemia than males for all three parasite lineages combined. Females with higher GRW1 parasitemia tended to arrive later in spring to their breeding sites. There was a negative correlation between parasitemia and number of fledged offspring for GRW1, and a tendency for a negative correlation between GRW2 parasitemia and the proportion of recruiting offspring. Overall our results demonstrate that chronic Haemosporidian infections can have slight but significant effects on host life history traits, and therefore may act as important selective agents in wild bird populations.",O,Phenology,Spring arrival,na,Great reed warbler,Acrocephalus arundinaceus,Bird,Passeriformes,Acrocephalidae,GRW1,Protozoa,Breeding,Field,Females,Single,Y,37,na,na,Not presented,3.4,F,0.07,0.07,0,Intensity,-0.3,0.03,-0.6,0.11,0.11,"pes(0.07,18.5,18.5)",Negative
1,3,"Asghar, M; Hasselquist, D; Bensch, S",Are chronic avian haemosporidian infections costly in wild birds?,JOURNAL OF AVIAN BIOLOGY,2011,"One group of commonly found parasites in birds, for which fitness consequences and effects on life history traits have been much debated are Haemosporidian blood parasites. In a long term study population of great reed warblers Acrocephalus arundinaceus in Sweden, previous studies have shown that the Haemosporidian blood parasites are in their chronic phase during the breeding season and that the fitness of infected and non-infected birds are similar. In the present study, we quantified parasite intensity (parasitemia) in 718 adults great reed warblers sampled between 1987 and 1998 for the three most common parasite species; Haemoproteus payevskyi (lineage GRW1), Plasmodium ashfordi (GRW2) and Plasmodium relictum (GRW4). We verified that the q-PCR method is accurately quantifying Haemoproteus payevskyi (GRW1) as it was highly correlated with the number of parasites seen under microscope. Frequency of mixed infections with two lineages was significantly higher than expected based on the prevalence of each of the three parasite lineages. The mean level of parasitemia was significantly different for the three lineages and individual birds had repeatable parasitemia levels between years. Females tended to have a higher parasitemia than males for all three parasite lineages combined. Females with higher GRW1 parasitemia tended to arrive later in spring to their breeding sites. There was a negative correlation between parasitemia and number of fledged offspring for GRW1, and a tendency for a negative correlation between GRW2 parasitemia and the proportion of recruiting offspring. Overall our results demonstrate that chronic Haemosporidian infections can have slight but significant effects on host life history traits, and therefore may act as important selective agents in wild bird populations.",O,Phenology,Spring arrival,na,Great reed warbler,Acrocephalus arundinaceus,Bird,Passeriformes,Acrocephalidae,GRW1,Protozoa,Breeding,Field,Males,Single,Y,34,na,na,Not presented,0.8,F,0.4,0.4,0,Intensity,-0.15,0.03,-0.29,0.11,0.11,"pes(0.4,17,17)",Negative
